timestamp,open,high,low,close,volume
2025-06-16 01:00:00,86.11,86.77,85.34,86.68,12524.282
2025-06-16 02:00:00,86.68,87.03,86.47,86.82,13087.555
2025-06-16 03:00:00,86.82,86.85,86.41,86.55,9611.126
2025-06-16 04:00:00,86.54,87.08,86.52,86.94,14002.589
2025-06-16 05:00:00,86.93,87.6,86.61,87.26,13387.039
2025-06-16 06:00:00,87.25,87.5,87.12,87.25,9109.55
2025-06-16 07:00:00,87.26,87.74,87.2,87.55,13220.537
2025-06-16 08:00:00,87.55,87.71,87.31,87.61,10621.674
2025-06-16 09:00:00,87.61,87.63,87.08,87.2,7069.12
2025-06-16 10:00:00,87.2,87.42,86.83,87.02,8147.63
2025-06-16 11:00:00,87.03,87.38,86.61,87.13,14412.002
2025-06-16 12:00:00,87.12,87.58,86.98,87.33,10964.202
2025-06-16 13:00:00,87.33,88.03,87.33,87.97,18263.266
2025-06-16 14:00:00,87.97,88.82,87.84,88.37,23873.531
2025-06-16 15:00:00,88.37,88.55,87.89,87.95,17322.184
2025-06-16 16:00:00,87.95,88.65,87.89,88.11,15688.815
2025-06-16 17:00:00,88.11,88.38,87.9,88.05,11136.431
2025-06-16 18:00:00,88.05,88.54,87.95,88.53,10310.445
2025-06-16 19:00:00,88.54,88.92,88.54,88.83,12025.834
2025-06-16 20:00:00,88.82,88.89,88.37,88.71,10397.805
2025-06-16 21:00:00,88.71,88.8,88.38,88.71,6723.011
2025-06-16 22:00:00,88.72,88.91,86.8,87.26,28036.146
2025-06-16 23:00:00,87.26,87.98,86.49,86.67,21336.109
2025-06-17 00:00:00,86.67,87.7,85.31,87.66,31106.875
2025-06-17 01:00:00,87.67,87.77,86.89,86.97,14341.91
2025-06-17 02:00:00,86.98,87.29,86.39,87.22,10780.899
2025-06-17 03:00:00,87.22,87.39,86.88,87.16,5516.455
2025-06-17 04:00:00,87.16,87.17,86.64,86.79,6905.486
2025-06-17 05:00:00,86.78,86.84,86.04,86.29,5911.056
2025-06-17 06:00:00,86.28,86.69,86.11,86.21,8409.914
2025-06-17 07:00:00,86.22,86.5,86.02,86.4,7541.283
2025-06-17 08:00:00,86.39,86.45,85.86,85.95,8634.406
2025-06-17 09:00:00,85.95,86.26,85.85,86.04,9240.995
2025-06-17 10:00:00,86.04,86.05,85.11,85.48,11014.753
2025-06-17 11:00:00,85.47,85.48,84.8,85.11,12421.032
2025-06-17 12:00:00,85.12,85.5,84.88,85.02,11197.54
2025-06-17 13:00:00,85.02,85.7,84.86,85.41,13218.049
